ID DB_NPU,DIVISI,NAMA BAHAN,SATUAN NPU
20269001,BAKSO SIBO,PREPARE KUAH BAKSO SIBO,RESEP
20269002,BAR,COMPLIMENT CUSTOMER GULA CAIR,SHOT
20269003,BAR,KALIBRASI BEANS FULL ARABICA,BREW
20269004,BAR,KALIBRASI BEANS HOUSE BLEND,BREW
20269005,BAR,PREPARE WHIPPCREAM,GRAM BAHAN KERING
20269006,DAIZU,PREPARE TEPUNG DAIZU,RESEP
20269007,DAPUR,PREPARE NASI PUTIH,GRAM BAHAN KERING
20269008,DAPUR,PREPARE TEPUNG UBI,RESEP
20269009,MAK ACIK,PREPARE ADONAN TEPUNG GORENG,RESEP
20269010,MAK ACIK,PREPARE ISIAN,RESEP
20269011,MAK ACIK,PREPARE KULIT RISOL,RESEP
20269012,ODENG GO,PREPARE KUAH KALDU ODENG GO,RESEP
20269013,ODENG GO,PREPARE KUAH TOM YAM ODENG GO,RESEP