ID DB_PREPARE_BAHAN,DIVISI,NAMA BAHAN,SATUAN BAHAN,SATUAN PREPARE
20260002,BAKSO SIBO,BAWANG GORENG,GRAM,GRAM BAHAN MENTAH
20260003,BAKSO SIBO,BIANG CABE BAKSO,GRAM,RESEP
20260004,BAKSO SIBO,BIANG KALDU BAKSO,GRAM,RESEP
20260005,BAKSO SIBO,BIHUN,BUNGKUS,BUNGKUS BAHAN MENTAH
20260009,BAKSO SIBO,MIE AYAM,PCS,PACK BAHAN MENTAH
20260010,BAKSO SIBO,MIE KUNING,BUNGKUS,BUNGKUS BAHAN MENTAH
20260011,BAKSO SIBO,MINYAK BAWANG,GRAM,RESEP
20260014,BAKSO SIBO,SEMUR AYAM,GRAM,RESEP
20260018,BAR,AREN CAIR,GRAM,GRAM BAHAN MENTAH
20260023,BAR,BIANG BLACK TEA,GRAM,RESEP
20260024,BAR,BIANG FOAM,GRAM,RESEP
20260025,BAR,BIANG KOSUJU,GRAM,RESEP
20260049,BAR,GULA CAIR,GRAM,RESEP
20260055,BAR,KRIMER CAIR,GRAM,GRAM BAHAN MENTAH
20260082,BAR,SETUJU GO - AREN,BOTOL,RESEP
20260083,BAR,SETUJU GO - HAZELNUT,BOTOL,RESEP
20260084,BAR,SETUJU GO - VANILLA,BOTOL,RESEP
20260087,BAR,STUDENT - COKLAT,BOTOL,RESEP
20260088,BAR,STUDENT - LEMON TEA,BOTOL,RESEP
20260089,BAR,STUDENT - LYCHEE TEA,BOTOL,RESEP
20260090,BAR,STUDENT - MATCHA,BOTOL,RESEP
20260091,BAR,STUDENT - RED VELVET,BOTOL,RESEP
20260092,BAR,STUDENT - TARO,BOTOL,RESEP
20260132,DAPUR,AYAM BESAR,PCS,RESEP
20260133,DAPUR,AYAM CAKALANG,GRAM,RESEP
20260134,DAPUR,AYAM FILLET PAHA,BUNGKUS,KILOGRAM BAHAN MENTAH
20260135,DAPUR,BABY CUMI,GRAM,KILOGRAM BAHAN MENTAH
20260137,DAPUR,BAKSO GORENG,BUNGKUS,BUNGKUS BAHAN MENTAH
20260140,DAPUR,BEEF SLICE,BUNGKUS,KILOGRAM BAHAN MENTAH
20260142,DAPUR,BIANG AYAM BAKAR,GRAM,RESEP
20260143,DAPUR,BIANG AYAM PENYET,GRAM,RESEP
20260144,DAPUR,BIANG BANGLADESH,GRAM,RESEP
20260145,DAPUR,BIANG BLACKPEPPER,GRAM,RESEP
20260146,DAPUR,BIANG CABE HIJAU,GRAM,RESEP
20260147,DAPUR,BIANG RICA-RICA,GRAM,RESEP
20260148,DAPUR,BUMBU DASAR,GRAM,RESEP
20260156,DAPUR,CIRENG GORENG,BUNGKUS,BUNGKUS BAHAN MENTAH
20260194,DAPUR,KENTANG GORENG,BUNGKUS,BUNGKUS BAHAN MENTAH
20260202,DAPUR,KWETIAU,BUNGKUS,BUNGKUS BAHAN MENTAH
20260205,DAPUR,MASTER KECAP,GRAM,RESEP
20260208,DAPUR,MIE ACEH,BUNGKUS,BUNGKUS BAHAN MENTAH
20260211,DAPUR,NUGGET,BUNGKUS,BUNGKUS BAHAN MENTAH
20260213,DAPUR,OTAK OTAK GORENG,BUNGKUS,BUNGKUS BAHAN MENTAH
20260216,DAPUR,PISANG GORENG,BUNGKUS,TANDAN
20260224,DAPUR,SAUS SAMBARASA,GRAM,RESEP
20260234,DAPUR,SETUJU PLATTER,BUNGKUS,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM"
20260235,DAPUR,SNACK PLATTER,BUNGKUS,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM"
20260236,DAPUR,SOSIS GORENG,BUNGKUS,BUNGKUS BAHAN MENTAH
20260259,DAPUR,UBI CILEMBU,BUNGKUS,KILOGRAM BAHAN MENTAH
20260260,DAPUR,UBI GORENG,BUNGKUS,KILOGRAM BAHAN MENTAH
20260264,HARVESTMOON STRAWBERRY,ADONAN PANCAKE,GRAM,RESEP
20260265,HARVESTMOON STRAWBERRY,ADONAN WAFFLE,GRAM,RESEP
20260269,HARVESTMOON STRAWBERRY,COKLAT CAIR,GRAM,RESEP
20260287,HARVESTMOON STRAWBERRY,SELAI STRAWBERRY,GRAM,RESEP
20260296,HARVESTMOON STRAWBERRY,TOPPING CREAM,GRAM,RESEP
20260311,MAK ACIK,ADONAN BAKWAN,GRAM,RESEP
20260316,MAK ACIK,RISOL ISI,PCS,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM"
20260317,MAK ACIK,TAHU ISI,PCS,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM"
20260320,NASI OLENGG,ACAR,GRAM,"DIKOSONGKAN SAJA/ISI "" 0 "" DI FORM"
20260323,NASI OLENGG,BASIS,BUNGKUS,BUNGKUS BAHAN MENTAH
20260330,NASI OLENGG,CHICKEN KARAAGE OLENG,BUNGKUS,BUNGKUS BAHAN MENTAH
20260342,ODENG GO,BIANG TOM YAM,GRAM,RESEP
20260350,ODENG GO,SATE BAKSO AYAM,TUSUK,BUNGKUS BAHAN MENTAH
20260351,ODENG GO,SATE BAKSO IKAN,TUSUK,BUNGKUS BAHAN MENTAH
20260352,ODENG GO,SATE BAKSO UDANG,TUSUK,BUNGKUS BAHAN MENTAH
20260353,ODENG GO,SATE CIKUA,TUSUK,BUNGKUS BAHAN MENTAH
20260354,ODENG GO,SATE DUMPLING CHEESE,TUSUK,BUNGKUS BAHAN MENTAH
20260355,ODENG GO,SATE DUMPLING CHICKEN,TUSUK,BUNGKUS BAHAN MENTAH
20260356,ODENG GO,SATE ODENG,TUSUK,BUNGKUS BAHAN MENTAH
20260357,ODENG GO,SATE OTAK - OTAK,TUSUK,BUNGKUS BAHAN MENTAH
20260358,ODENG GO,SATE SOSIS GO,TUSUK,BUNGKUS BAHAN MENTAH
20260359,ODENG GO,SATE TAHU TOFU,TUSUK,BUNGKUS BAHAN MENTAH
20260360,ODENG GO,SATE TWISTER,TUSUK,BUNGKUS BAHAN MENTAH